,sobol_scram,sobol_unscr,uniform,mpmc
average_cardinality,55.55555555555556,55.0,55.24444444444445,57.0
std_dev_cardinality,1.7487208729119763,0.0,3.0507234519449504,0.0
average_path_length,538.6700222690039,530.8498411038441,565.8825407482348,535.0969930656006
std_dev_path_length,112.17070230072295,114.7428381845471,126.56176426884804,108.7212600244494
percentage_gain,4.8088634159395145,6.190807653840821,0.0,5.440271693473377
misses,40.0,4.0,40.0,4.0
